name;year;price;place;liters;engine_type;transmission_type;drivetrain_type;mileage;car_is_new;normal_price;high_price;no_eval_price
Kia Rio; 2017;699777;Кемерово;1.4 л (107 л.с.),;бензин,;механика,;передний,;95 тыс. км;0;0;0;0
Kia Rio; 2019;1350000;Москва;1.4 л (100 л.с.),;бензин,;автомат,;передний,;108 тыс. км,;0;0;0;1
Kia Rio; 2019;1205000;Москва;1.4 л (100 л.с.),;бензин,;автомат,;передний,;110 тыс. км;0;0;0;1
Kia Rio; 2019;1250000;Москва;1.4 л (100 л.с.),;бензин,;автомат,;передний,;113 тыс. км;0;0;0;1
Kia Rio; 2013;745000;Москва;1.6 л (123 л.с.),;бензин,;механика,;передний,;165 тыс. км;0;1;0;0
Kia Rio; 2013;749990;Пермь;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;165 тыс. км;0;1;0;0
Kia Rio; 2021;1750000;Иркутск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;40 тыс. км;0;1;0;0
Kia Rio; 2011;759000;Новочеркасск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;172 тыс. км;0;0;0;1
Kia Rio; 2021;1789700;Магнитогорск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;31 тыс. км;0;1;0;0
Kia Rio; 2020;1500000;Нягань;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;22 тыс. км;0;1;0;0
Kia Rio; 2019;1249000;Абакан;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;86 тыс. км;0;1;0;0
Kia Rio; 2013;675000;Иркутск;1.6 л (123 л.с.),;бензин,;механика,;передний,;< 1 тыс. км;0;0;0;0
Kia Rio; 2009;530000;Москва;1.4 л (95 л.с.),;бензин,;АКПП,;передний,;196 тыс. км;0;1;0;0
Kia Rio; 2003;230000;Москва;1.5 л (97 л.с.),;бензин,;механика,;передний,;169 тыс. км;0;1;0;0
Kia Rio; 2015;699000;Санкт-Петербург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;264 тыс. км;0;1;0;0
Kia Rio; 2014;825000;Челябинск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;58 тыс. км;0;1;0;0
Kia Rio; 2022;1840000;Омск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;< 1 тыс. км;0;1;0;0
Kia Rio; 2016;936999;Кемерово;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;89 тыс. км;0;1;0;0
Kia Rio; 2020;1329999;Кемерово;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;94 тыс. км;0;1;0;0
Kia Rio; 2019;780000;Шали;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;123 тыс. км;0;0;0;1
Kia Rio; 2022;2250000;Липецк;1.6 л (123 л.с.),;бензин,;автомат,;передний,; белый;1;0;0;0
Kia Rio; 2010;475000;Саратов;1.4 л (95 л.с.),;бензин,;механика,;передний,;120 тыс. км;0;0;0;0
Kia Rio; 2016;848000;Уфа;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;128 тыс. км;0;0;0;1
Kia Rio; 2012;638000;Красноярск;1.4 л (107 л.с.),;бензин,;механика,;передний,;121 тыс. км;0;1;0;0
Kia Rio; 2015;799000;Новокузнецк;1.4 л (107 л.с.),;бензин,;механика,;передний,;57 тыс. км;0;1;0;0
Kia Rio; 2012;580000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;250 тыс. км;0;0;0;0
Kia Rio; 2018;1020000;Новосибирск;1.6 л (123 л.с.),;бензин,;механика,;передний,;66 тыс. км;0;0;0;0
Kia Rio; 2019;1285000;Канск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;55 тыс. км;0;1;0;0
Kia Rio; 2011;350000;Новокузнецк;1.4 л (95 л.с.),;бензин,;механика,;передний,;236 тыс. км;0;0;0;1
Kia Rio; 2018;999500;Ярославль;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;84 тыс. км;0;1;0;0
Kia Rio; 2020;1423000;Тюмень;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;72 тыс. км;0;1;0;0
Kia Rio; 2016;869000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;132 тыс. км;0;1;0;0
Kia Rio; 2012;720000;Бийск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;145 тыс. км;0;1;0;0
Kia Rio; 2015;800000;Чебоксары;1.6 л (123 л.с.),;бензин,;механика,;передний,;110 тыс. км;0;1;0;0
Kia Rio; 2017;985000;Тюмень;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;109 тыс. км;0;1;0;0
Kia Rio; 2020;1440000;Иркутск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;32 тыс. км;0;1;0;0
Kia Rio; 2013;620000;Иркутск;1.4 л (107 л.с.),;бензин,;механика,;передний,;206 тыс. км;0;1;0;0
Kia Rio; 2014;650000;Кунашак;1.4 л (107 л.с.),;бензин,;механика,;передний,;264 тыс. км;0;1;0;0
Kia Rio; 2018;580000;Екатеринбург;1.6 л (123 л.с.),;бензин,;механика,;передний,;45 тыс. км;0;0;0;0
Kia Rio; 2010;399000;Сургут;1.4 л (95 л.с.),;бензин,;механика,;передний,;195 тыс. км;0;0;0;0
Kia Rio; 2019;975000;Иркутск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;84 тыс. км;0;1;0;0
Kia Rio; 2020;1430000;Тюмень;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;80 тыс. км;0;1;0;0
Kia Rio; 2020;1440000;Талица;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;22 тыс. км;0;1;0;0
Kia Rio; 2015;829000;Омск;1.6 л (123 л.с.),;бензин,;механика,;передний,;88 тыс. км;0;1;0;0
Kia Rio; 2014;749000;Омск;1.4 л (107 л.с.),;бензин,;АКПП,;передний,;98 тыс. км;0;1;0;0
Kia Rio; 2013;779000;Омск;1.6 л (123 л.с.),;бензин,;механика,;передний,;138 тыс. км;0;1;0;0
Kia Rio; 2019;900000;Иркутск;1.4 л (100 л.с.),;бензин,;механика,;передний,;107 тыс. км;0;0;0;0
Kia Rio; 2014;719000;Тула;1.4 л (107 л.с.),;бензин,;механика,;передний,;142 тыс. км;0;1;0;0
Kia Rio; 2013;650000;Славянск-На-Кубани;1.6 л (123 л.с.),;бензин,;АКПП,;передний;0;0;0;0;0
Kia Rio; 2012;695000;Ярославль;1.6 л (123 л.с.),;бензин,;механика,;передний,;123 тыс. км;0;1;0;0
Kia Rio; 2015;440000;Тюмень;1.4 л (107 л.с.),;бензин,;механика,;передний,;300 тыс. км;0;0;0;1
Kia Rio; 2014;810000;Бийск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;96 тыс. км;0;1;0;0
Kia Rio; 2020;1400000;Томск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;43 тыс. км;0;1;0;0
Kia Rio; 2012;799000;Астрахань;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;123 тыс. км;0;0;1;0
Kia Rio; 2020;1490000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;20 тыс. км;0;1;0;0
Kia Rio; 2019;1190000;Назарово;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;77 тыс. км;0;1;0;0
Kia Rio; 2011;699000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;148 тыс. км;0;1;0;0
Kia Rio; 2017;955000;Алушта;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;120 тыс. км;0;1;0;0
Kia Rio; 2020;1687000;Санкт-Петербург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;39 тыс. км;0;0;1;0
Kia Rio; 2019;935000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;89 тыс. км;0;0;0;0
Kia Rio; 2019;949000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;86 тыс. км;0;0;0;0
Kia Rio; 2019;950000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;93 тыс. км;0;0;0;0
Kia Rio; 2015;825000;Хабаровск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;131 тыс. км;0;1;0;0
Kia Rio; 2020;1299000;Тюмень;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;150 тыс. км;0;1;0;0
Kia Rio; 2021;1450000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;22 тыс. км;0;0;0;0
Kia Rio; 2019;1150000;Омск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;71 тыс. км;0;1;0;0
Kia Rio; 2019;730000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;260 тыс. км;0;0;0;1
Kia Rio; 2010;510000;Голышманово;1.4 л (95 л.с.),;бензин,;механика,;передний,;160 тыс. км;0;1;0;0
Kia Rio; 2011;598000;Омск;1.4 л (95 л.с.),;бензин,;АКПП,;передний,;121 тыс. км;0;1;0;0
Kia Rio; 2015;820000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;116 тыс. км;0;1;0;0
Kia Rio; 2016;990000;Киров;1.6 л (123 л.с.),;бензин,;механика,;передний,;79 тыс. км;0;1;0;0
Kia Rio; 2004;233000;Самара;1.5 л (97 л.с.),;бензин,;механика,;передний,;270 тыс. км;0;1;0;0
Kia Rio; 2021;1750000;Сургут;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;18 тыс. км;0;1;0;0
Kia Rio; 2010;515000;Новосибирск;1.4 л (95 л.с.),;бензин,;АКПП,;передний,;178 тыс. км;0;1;0;0
Kia Rio; 2012;645000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;290 тыс. км;0;1;0;0
Kia Rio; 2020;1297000;Кемерово;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;38 тыс. км;0;1;0;0
Kia Rio; 2017;959000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;43 тыс. км;0;1;0;0
Kia Rio; 2017;600000;Кемерово;1.6 л (123 л.с.),;бензин,;механика,;передний,;130 тыс. км;0;0;0;0
Kia Rio; 2020;1619000;Сургут;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;20 тыс. км;0;1;0;0
Kia Rio; 2019;1100000;Новосибирск;1.6 л (123 л.с.),;бензин,;механика,;передний,;89 тыс. км;0;1;0;0
Kia Rio; 2018;1240000;Дивногорск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;102 тыс. км;0;0;1;0
Kia Rio; 2020;1170000;Новокузнецк;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;43 тыс. км;0;0;0;0
Kia Rio; 2017;1350000;Владивосток;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;65 тыс. км;0;0;1;0
Kia Rio; 2020;1447000;Евпатория;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;29 тыс. км;0;1;0;0
Kia Rio; 2010;429000;Сургут;1.4 л (95 л.с.),;бензин,;механика,;передний,;160 тыс. км;0;0;0;0
Kia Rio; 2018;1098000;Нижневартовск;1.6 л (123 л.с.),;бензин,;механика,;передний,;117 тыс. км;0;1;0;0
Kia Rio; 2022;2209900;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний;0;1;0;0;0
Kia Rio; 2012;510000;Железногорск;1.4 л (107 л.с.),;бензин,;механика,;передний,;171 тыс. км;0;0;0;0
Kia Rio; 2017;995000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;59 тыс. км;0;0;0;1
Kia Rio; 2013;780000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;64 тыс. км;0;1;0;0
Kia Rio; 2017;1020000;Кутулик;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;110 тыс. км;0;1;0;0
Kia Rio; 2016;779000;Челябинск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;162 тыс. км;0;0;0;1
Kia Rio; 2013;679000;Новосибирск;1.4 л (107 л.с.),;бензин,;АКПП,;передний,;115 тыс. км;0;1;0;0
Kia Rio; 2017;985000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;95 тыс. км;0;0;0;1
Kia Rio; 2019;950000;Новосибирск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;88 тыс. км;0;0;0;0
Kia Rio; 2019;965000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;90 тыс. км;0;1;0;0
Kia Rio; 2019;945000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;80 тыс. км;0;0;0;0
Kia Rio; 2019;950000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;87 тыс. км;0;0;0;0
Kia Rio; 2019;985000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;64 тыс. км;0;0;0;0
Kia Rio; 2019;1172000;Тюмень;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;104 тыс. км;0;1;0;0
Kia Rio; 2016;950000;Москва;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;74 тыс. км;0;0;0;1
Kia Rio; 2019;965000;Новосибирск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;99 тыс. км;0;1;0;0
Kia Rio; 2017;700000;Тобольск;1.4 л (107 л.с.),;бензин,;АКПП,;передний,;210 тыс. км;0;0;0;0
Kia Rio; 2012;599000;Новокузнецк;1.6 л (123 л.с.),;бензин,;механика,;передний,;156 тыс. км;0;1;0;0
Kia Rio; 2020;1297000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;49 тыс. км;0;1;0;0
Kia Rio; 2020;1199000;Ставрополь;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;46 тыс. км;0;0;0;0
Kia Rio; 2020;1440000;Барнаул;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;48 тыс. км;0;1;0;0
Kia Rio; 2007;450000;Подольск;1.4 л (97 л.с.),;бензин,;механика,;передний,;196 тыс. км;0;1;0;0
Kia Rio; 2017;1149000;Москва;1.6 л,;бензин,;передний,;72 тыс. км;0;0;0;0;1
Kia Rio; 2017;1189000;Ростов-на-Дону;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;114 тыс. км;0;0;0;1
Kia Rio; 2017;1159000;Барнаул;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;78 тыс. км;0;0;0;1
Kia Rio; 2016;915000;Нижневартовск;1.6 л (123 л.с.),;бензин,;механика,;передний,;76 тыс. км;0;1;0;0
Kia Rio; 2021;1570000;Томск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;30 тыс. км;0;1;0;0
Kia Rio; 2015;808000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;126 тыс. км;0;1;0;0
Kia Rio; 2021;1950000;Минеральные Воды;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;26 тыс. км;0;0;1;0
Kia Rio; 2012;550000;Большой Камень;1.4 л (107 л.с.),;бензин,;АКПП,;передний,;210 тыс. км;0;1;0;0
Kia Rio; 2017;760000;Иркутск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;199 тыс. км;0;0;0;0
Kia Rio; 2018;925000;Новокузнецк;1.6 л (123 л.с.),;бензин,;механика,;передний,;74 тыс. км;0;0;0;0
Kia Rio; 2014;790000;Архангельск;1.4 л (107 л.с.),;бензин,;механика,;передний,;160 тыс. км;0;0;1;0
Kia Rio; 2017;1327000;Москва;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;81 тыс. км;0;0;0;1
Kia Rio; 2021;1660000;Москва;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;10 тыс. км;0;1;0;0
Kia Rio; 2020;1519000;Екатеринбург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;64 тыс. км;0;1;0;0
Kia Rio; 2020;1275000;Краснодар;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;52 тыс. км;0;1;0;0
Kia Rio; 2019;1249000;Вологда;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;29 тыс. км;0;1;0;0
Kia Rio; 2018;1020000;Москва;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;178 тыс. км;0;1;0;0
Kia Rio; 2021;1549000;Воронеж;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;9 тыс. км;0;1;0;0
Kia Rio; 2021;1700000;Симферополь;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;20 тыс. км;0;1;0;0
Kia Rio; 2010;450000;Москва;1.4 л (95 л.с.),;бензин,;АКПП,;передний,;190 тыс. км;0;0;0;0
Kia Rio; 2013;775000;Томск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;156 тыс. км;0;1;0;0
Kia Rio; 2009;435000;Челябинск;1.4 л (97 л.с.),;бензин,;механика,;передний,;201 тыс. км;0;0;0;0
Kia Rio; 2022;1750000;Сургут;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;6 тыс. км;0;1;0;0
Kia Rio; 2016;665000;Симферополь;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;220 тыс. км;0;1;0;0
Kia Rio; 2019;1310000;Москва;1.4 л (100 л.с.),;бензин,;автомат,;передний,;113 тыс. км,;0;0;0;1
Kia Rio; 2021;2099000;Ставрополь;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;1 тыс. км;0;0;1;0
Kia Rio; 2019;1310000;Москва;1.4 л (100 л.с.),;бензин,;автомат,;передний,;109 тыс. км;0;0;0;1
Kia Rio; 2016;840000;Воронеж;1.6 л (123 л.с.),;бензин,;механика,;передний,;107 тыс. км;0;0;0;1
Kia Rio; 2020;1475000;Воронеж;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;34 тыс. км;0;1;0;0
Kia Rio; 2020;1449000;Воронеж;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;39 тыс. км;0;1;0;0
Kia Rio; 2018;1202528;Казань;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;55 тыс. км;0;1;0;0
Kia Rio; 2017;1029900;Ростов-на-Дону;1.6 л (123 л.с.),;бензин,;механика,;передний,;112 тыс. км;0;1;0;0
Kia Rio; 2015;755000;Ульяновск;1.4 л (107 л.с.),;бензин,;механика,;передний,;148 тыс. км;0;1;0;0
Kia Rio; 2014;720000;Москва;1.6 л (123 л.с.),;бензин,;механика,;передний,;255 тыс. км;0;1;0;0
Kia Rio; 2018;1120000;Волгоград;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;74 тыс. км;0;1;0;0
Kia Rio; 2021;1445000;Санкт-Петербург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;14 тыс. км;0;0;0;0
Kia Rio; 2016;899000;Волгоград;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;93 тыс. км;0;0;0;1
Kia Rio; 2017;765000;Оренбург;1.4 л (100 л.с.),;бензин,;механика,;передний,;110 тыс. км;0;0;0;0
Kia Rio; 2012;620000;Ростов-на-Дону;1.6 л (123 л.с.),;бензин,;механика,;передний,;141 тыс. км;0;1;0;0
Kia Rio; 2012;589000;Мончегорск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;167 тыс. км;0;1;0;0
